VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

SPEC: 1963.462 1965.006 -2.759946E-17 2.627039E-17 1
SPEC: 1965.006 1966.550 1.335517E-17 2.713022E-17 1
SPEC: 1966.550 1968.095 5.712508E-18 2.702988E-17 1
SPEC: 1968.095 1969.639 4.533451E-17 2.761451E-17 1
SPEC: 1969.639 1971.183 1.013460E-16 2.907184E-17 1
SPEC: 1971.183 1972.727 5.377597E-17 2.792074E-17 1
SPEC: 1972.727 1974.272 3.367709E-17 2.706444E-17 1
SPEC: 1974.272 1975.816 6.707522E-17 2.796261E-17 1
SPEC: 1975.816 1977.360 9.865036E-17 2.841690E-17 1
SPEC: 1977.360 1978.904 6.825424E-17 2.760841E-17 1
SPEC: 1978.904 1980.449 2.817199E-17 2.655716E-17 1
SPEC: 1980.449 1981.993 3.478932E-17 2.620919E-17 1
SPEC: 1981.993 1983.537 7.980437E-17 2.747831E-17 1
SPEC: 1983.537 1985.082 1.018773E-16 2.810667E-17 1
SPEC: 1985.082 1986.626 3.077731E-17 2.605379E-17 1
SPEC: 1986.626 1988.170 2.566523E-17 2.569924E-17 1
SPEC: 1988.170 1989.714 9.744383E-17 2.737964E-17 1
SPEC: 1989.714 1991.259 9.152505E-17 2.721477E-17 1
SPEC: 1991.259 1992.803 4.864480E-17 2.594027E-17 1
SPEC: 1992.803 1994.347 5.633898E-17 2.608936E-17 1
SPEC: 1994.347 1995.891 2.181113E-17 2.523200E-17 1
SPEC: 1995.891 1997.436 -1.011218E-17 2.411966E-17 1
SPEC: 1997.436 1998.980 1.425797E-17 2.462931E-17 1
SPEC: 1998.980 2000.524 2.303584E-17 2.475516E-17 1
SPEC: 2000.524 2002.069 2.842101E-17 2.468184E-17 1
SPEC: 2002.069 2003.613 5.159669E-17 2.531878E-17 1
SPEC: 2003.613 2005.157 6.147903E-17 2.545612E-17 1
SPEC: 2005.157 2006.701 2.560654E-17 2.425527E-17 1
SPEC: 2006.701 2008.246 -1.494504E-17 2.317221E-17 1
SPEC: 2008.246 2009.790 -3.135235E-17 2.265719E-17 1
SPEC: 2009.790 2011.334 -1.063737E-17 2.288539E-17 1
SPEC: 2011.334 2012.878 1.861465E-17 2.350285E-17 1
SPEC: 2012.878 2014.423 2.786613E-17 2.361031E-17 1
SPEC: 2014.423 2015.967 6.233145E-17 2.434581E-17 1
SPEC: 2015.967 2017.511 9.231920E-17 2.484134E-17 1
SPEC: 2017.511 2019.055 8.474335E-17 2.506072E-17 1
SPEC: 2019.055 2020.600 3.771971E-17 2.349496E-17 1
SPEC: 2020.600 2022.144 5.439846E-17 2.357510E-17 1
SPEC: 2022.144 2023.688 3.318419E-17 2.343610E-17 1
SPEC: 2023.688 2025.233 5.571751E-18 2.221189E-17 1
SPEC: 2025.233 2026.777 5.599566E-17 2.324442E-17 1
SPEC: 2026.777 2028.321 5.511630E-17 2.341883E-17 1
SPEC: 2028.321 2029.865 2.714041E-17 2.271488E-17 1
SPEC: 2029.865 2031.410 3.620397E-17 2.280105E-17 1
SPEC: 2031.410 2032.954 4.047414E-17 2.291140E-17 1
SPEC: 2032.954 2034.498 4.799686E-17 2.260573E-17 1
SPEC: 2034.498 2036.042 4.815186E-17 2.288939E-17 1
SPEC: 2036.042 2037.587 2.254183E-17 2.204026E-17 1
SPEC: 2037.587 2039.131 -3.946879E-18 2.156269E-17 1
SPEC: 2039.131 2040.675 -2.413315E-17 2.077848E-17 1
SPEC: 2040.675 2042.219 1.888905E-17 2.166417E-17 1
SPEC: 2042.219 2043.764 2.057859E-17 2.151037E-17 1
SPEC: 2043.764 2045.308 1.322595E-17 2.142024E-17 1
SPEC: 2045.308 2046.852 -1.706508E-17 2.075169E-17 1
SPEC: 2046.852 2048.397 -9.947872E-18 2.026139E-17 1
SPEC: 2048.397 2049.941 5.498259E-17 2.232871E-17 1
SPEC: 2049.941 2051.485 4.965219E-17 2.216790E-17 1
